DateID,Date,Month,Quarter,Year
185,2024-07-03,7,3,2024
186,2024-07-04,7,3,2024
187,2024-07-05,7,3,2024
188,2024-07-06,7,3,2024
189,2024-07-07,7,3,2024
190,2024-07-08,7,3,2024
191,2024-07-09,7,3,2024
192,2024-07-10,7,3,2024
193,2024-07-11,7,3,2024
194,2024-07-12,7,3,2024
195,2024-07-13,7,3,2024
196,2024-07-14,7,3,2024
197,2024-07-15,7,3,2024
198,2024-07-16,7,3,2024
199,2024-07-17,7,3,2024
200,2024-07-18,7,3,2024
201,2024-07-19,7,3,2024
202,2024-07-20,7,3,2024
203,2024-07-21,7,3,2024
204,2024-07-22,7,3,2024
205,2024-07-23,7,3,2024
206,2024-07-24,7,3,2024
207,2024-07-25,7,3,2024
208,2024-07-26,7,3,2024
209,2024-07-27,7,3,2024
210,2024-07-28,7,3,2024
211,2024-07-29,7,3,2024
212,2024-07-30,7,3,2024
213,2024-07-31,7,3,2024
214,2024-08-01,8,3,2024
215,2024-08-02,8,3,2024
216,2024-08-03,8,3,2024
217,2024-08-04,8,3,2024
218,2024-08-05,8,3,2024
219,2024-08-06,8,3,2024
220,2024-08-07,8,3,2024
221,2024-08-08,8,3,2024
222,2024-08-09,8,3,2024
223,2024-08-10,8,3,2024
224,2024-08-11,8,3,2024
225,2024-08-12,8,3,2024
226,2024-08-13,8,3,2024
227,2024-08-14,8,3,2024
228,2024-08-15,8,3,2024
229,2024-08-16,8,3,2024
230,2024-08-17,8,3,2024
231,2024-08-18,8,3,2024
232,2024-08-19,8,3,2024
233,2024-08-20,8,3,2024
234,2024-08-21,8,3,2024
235,2024-08-22,8,3,2024
236,2024-08-23,8,3,2024
237,2024-08-24,8,3,2024
238,2024-08-25,8,3,2024
239,2024-08-26,8,3,2024
240,2024-08-27,8,3,2024
241,2024-08-28,8,3,2024
242,2024-08-29,8,3,2024
243,2024-08-30,8,3,2024
244,2024-08-31,8,3,2024
245,2024-09-01,9,3,2024
246,2024-09-02,9,3,2024
247,2024-09-03,9,3,2024
248,2024-09-04,9,3,2024
249,2024-09-05,9,3,2024
250,2024-09-06,9,3,2024
251,2024-09-07,9,3,2024
252,2024-09-08,9,3,2024
253,2024-09-09,9,3,2024
254,2024-09-10,9,3,2024
255,2024-09-11,9,3,2024
256,2024-09-12,9,3,2024
257,2024-09-13,9,3,2024
258,2024-09-14,9,3,2024
259,2024-09-15,9,3,2024
260,2024-09-16,9,3,2024
261,2024-09-17,9,3,2024
262,2024-09-18,9,3,2024
263,2024-09-19,9,3,2024
264,2024-09-20,9,3,2024
265,2024-09-21,9,3,2024
266,2024-09-22,9,3,2024
267,2024-09-23,9,3,2024
268,2024-09-24,9,3,2024
269,2024-09-25,9,3,2024
270,2024-09-26,9,3,2024
271,2024-09-27,9,3,2024
272,2024-09-28,9,3,2024
273,2024-09-29,9,3,2024
274,2024-09-30,9,3,2024
275,2024-10-01,10,4,2024
276,2024-10-02,10,4,2024
277,2024-10-03,10,4,2024
278,2024-10-04,10,4,2024
279,2024-10-05,10,4,2024
280,2024-10-06,10,4,2024
281,2024-10-07,10,4,2024
282,2024-10-08,10,4,2024
283,2024-10-09,10,4,2024
284,2024-10-10,10,4,2024
285,2024-10-11,10,4,2024
286,2024-10-12,10,4,2024
287,2024-10-13,10,4,2024
288,2024-10-14,10,4,2024
289,2024-10-15,10,4,2024
290,2024-10-16,10,4,2024
291,2024-10-17,10,4,2024
292,2024-10-18,10,4,2024
293,2024-10-19,10,4,2024
294,2024-10-20,10,4,2024
295,2024-10-21,10,4,2024
296,2024-10-22,10,4,2024
297,2024-10-23,10,4,2024
298,2024-10-24,10,4,2024
299,2024-10-25,10,4,2024
300,2024-10-26,10,4,2024
301,2024-10-27,10,4,2024
302,2024-10-28,10,4,2024
303,2024-10-29,10,4,2024
304,2024-10-30,10,4,2024
305,2024-10-31,10,4,2024
306,2024-11-01,11,4,2024
307,2024-11-02,11,4,2024
308,2024-11-03,11,4,2024
309,2024-11-04,11,4,2024
310,2024-11-05,11,4,2024
311,2024-11-06,11,4,2024
312,2024-11-07,11,4,2024
313,2024-11-08,11,4,2024
314,2024-11-09,11,4,2024
315,2024-11-10,11,4,2024
316,2024-11-11,11,4,2024
317,2024-11-12,11,4,2024
318,2024-11-13,11,4,2024
319,2024-11-14,11,4,2024
320,2024-11-15,11,4,2024
321,2024-11-16,11,4,2024
322,2024-11-17,11,4,2024
323,2024-11-18,11,4,2024
324,2024-11-19,11,4,2024
325,2024-11-20,11,4,2024
326,2024-11-21,11,4,2024
327,2024-11-22,11,4,2024
328,2024-11-23,11,4,2024
329,2024-11-24,11,4,2024
330,2024-11-25,11,4,2024
331,2024-11-26,11,4,2024
332,2024-11-27,11,4,2024
333,2024-11-28,11,4,2024
334,2024-11-29,11,4,2024
335,2024-11-30,11,4,2024
336,2024-12-01,12,4,2024
337,2024-12-02,12,4,2024
338,2024-12-03,12,4,2024
339,2024-12-04,12,4,2024
340,2024-12-05,12,4,2024
341,2024-12-06,12,4,2024
342,2024-12-07,12,4,2024
343,2024-12-08,12,4,2024
344,2024-12-09,12,4,2024
345,2024-12-10,12,4,2024
346,2024-12-11,12,4,2024
347,2024-12-12,12,4,2024
348,2024-12-13,12,4,2024
349,2024-12-14,12,4,2024
350,2024-12-15,12,4,2024
351,2024-12-16,12,4,2024
352,2024-12-17,12,4,2024
353,2024-12-18,12,4,2024
354,2024-12-19,12,4,2024
355,2024-12-20,12,4,2024
356,2024-12-21,12,4,2024
357,2024-12-22,12,4,2024
358,2024-12-23,12,4,2024
359,2024-12-24,12,4,2024
360,2024-12-25,12,4,2024
361,2024-12-26,12,4,2024
362,2024-12-27,12,4,2024
363,2024-12-28,12,4,2024
364,2024-12-29,12,4,2024
365,2024-12-30,12,4,2024
